"f","l_density"
20,-50.0985719480786
21,-48.409228078685
22,-46.7984873780801
23,-45.2593592800069
24,-43.7857462080675
25,-42.3722976707819
26,-41.014292989989
27,-39.707546173452
28,-38.4483280959927
29,-37.2333023423135
30,-36.0594719307708
31,-34.9241347760902
32,-33.8248462253753
33,-32.7593873607724
34,-31.7257380353671
35,-30.7220538186961
36,-29.7466461907598
37,-28.7979654502805
38,-27.8745859027292
39,-26.9751929726813
40,-26.0985719480786
41,-25.2435981145412
42,-24.409228078685
43,-23.5944921125249
44,-22.7984873780801
45,-22.0203719134631
46,-21.2593592800069
47,-20.514713785112
48,-19.7857462080675
49,-19.0718099666103
50,-18.3722976707819
51,-17.6866380180594
52,-17.014292989989
53,-16.3547553158585
54,-15.707546173452
55,-15.0722131007834
56,-14.4483280959927
57,-13.8354858854214
58,-13.2333023423135
59,-12.6414130406911
60,-12.0594719307708
61,-11.487150123866
62,-10.9241347760902
63,-10.3701280613773
64,-9.82484622537525
65,-9.28801871269235
66,-8.75938736077237
67,-8.23870565438872
68,-7.72573803536711
69,-7.2202592626992
70,-6.72205381869606
71,-6.23091535726289
72,-5.74664619075975
73,-5.26905681225485
74,-4.79796545028046
75,-4.33319765347412
76,-3.8745859027292
77,-3.42196924869762
78,-2.9751929726813
79,-2.53410826912479
80,-2.09857194807856
81,-1.66844615614426
82,-1.24359811454125
83,-0.823899873049065
84,-0.409228078685004
85,0.000536241929580683
86,0.405507887475096
87,0.805797674994224
88,1.20151262191988
89,1.59275611781829
90,1.97962808653694
91,2.36222513939345
92,2.74064071999305
93,3.1149652412175
94,3.48528621488804
95,3.85168837456749
96,4.2142537919325
97,4.57306198711581
98,4.92819003338974
99,5.27971265653538
100,5.62770232921814
101,5.97222936066782
102,6.31336198194064
103,6.65116642702199
104,6.98570701001096
105,7.31704619861169
106,7.64524468414152
107,7.97036144825227
108,8.29245382654799
109,8.61157756927098
110,8.92778689921657
111,9.24113456702728
112,9.55167190400724
113,9.85944887258925
114,10.1645141145785
115,10.4669149972898
116,10.7666976576865
117,11.0639070446265
118,11.3585869593089
119,11.6507800940154
120,11.9405280692292
121,12.227871469215
122,12.512849876134
123,12.7955019027665
124,13.0758652239098
125,13.3539766065148
126,13.6298719386227
127,13.9035862571567
128,14.1751537746247
129,14.4446079047828
130,14.7119812873077
131,14.9773058115236
132,15.2406126392276
133,15.5019322266533
134,15.7612943456113
135,16.0187281038447
136,16.2742619646329
137,16.5279237656774
138,16.7797407373008
139,17.0297395199889
140,17.2779461813039
141,17.5243862321958
142,17.7690846427371
143,18.0120658573061
144,18.2533538092402
145,18.4929719349832
146,18.7309431877452
147,18.9672900506975
148,19.2020345497195
149,19.4351982657166
150,19.6668023465259
151,19.8968675184266
152,20.1254140972708
153,20.3524619992484
154,20.5780307513024
155,20.8021395012064
156,21.0248070273187
157,21.2460517480238
158,21.4658917308752
159,21.6843447014493
160,21.9014280519214
161,22.1171588493756
162,22.3315538438557
163,22.5446294761706
164,22.7564018854588
165,22.9668869165243
166,23.1761001269509
167,23.384056794002
168,23.590771921315
169,23.7962602453972
170,24.0005362419296
171,24.2036141318863
172,24.4055078874751
173,24.6062312379061
174,24.8057976749942
175,25.0042204586006
176,25.2015126219199
177,25.3976869766167
178,25.5927561178183
179,25.7867324289669
180,25.9796280865369
181,26.1714550646217
182,26.3622251393935
183,26.5519498934418
184,26.7406407199931
185,26.9283088270162
186,27.1149652412175
187,27.300620811928
188,27.485286214888
189,27.6689719559305
190,27.8516883745675
191,28.0334456474827
192,28.2142537919325
193,28.3941226690587
194,28.5730619871158
195,28.7510813046154
196,28.9281900333897
197,29.1043974415778
198,29.2797126565354
199,29.4541446676723
200,29.6277023292181
201,29.800394362919
202,29.9722293606678
203,30.143215787069
204,30.3133619819406
205,30.4826761627555
206,30.651166427022
207,30.8188407546086
208,30.985707010011
209,31.1517729445659
210,31.3170461986117
211,31.4815343035972
212,31.6452446841415
213,31.8081846600449
214,31.9703614482523
215,32.1317821647718
216,32.292453826548
217,32.4523833532922
218,32.611577569271
219,32.7700432050529
220,32.9277868992166
221,33.0848152000191
222,33.2411345670273
223,33.3967513727121
224,33.5516719040072
225,33.7059023638336
226,33.8594488725893
227,34.0123174696067
228,34.1645141145785
229,34.3160446889514
230,34.4669149972897
231,34.6171307686101
232,34.7666976576865
233,34.9156212463275
234,35.0639070446265
235,35.2115604921847
236,35.3585869593089
237,35.504991748183
238,35.6507800940154
239,35.7959571661627
240,35.9405280692292
241,36.0844978441438
242,36.227871469215
243,36.3706538611635
244,36.512849876134
245,36.6544643106864
246,36.7955019027665
247,36.935967332657
248,37.0758652239098
249,37.2152001442587
250,37.3539766065148
251,37.360608697949
252,37.3672144191687
253,37.3737939790478
254,37.380347583988
255,37.3868754379584
256,37.3933777425328
257,37.3998546969276
258,37.406306498038
259,37.4127333404745
260,37.4191354165973
261,37.4255129165518
262,37.4318660283015
263,37.4381949376621
264,37.4444998283336
265,37.4507808819325
266,37.4570382780229
267,37.4632721941478
268,37.4694828058591
269,37.4756702867468
270,37.4818348084691
271,37.4879765407799
272,37.4940956515577
273,37.5001923068325
274,37.5062666708135
275,37.5123189059149
276,37.5183491727825
277,37.524357630319
278,37.5303444357093
279,37.5363097444452
280,37.5422537103493
281,37.5481764855991
282,37.5540782207504
283,37.5599590647601
284,37.5658191650089
285,37.5716586673232
