Profile,Anchor,Trigger,Bypass,Floor,SII,Sones
A4,0.300000,85.000000,66.666667,-20.000000,0.630695,5.258731
A4,0.500000,85.000000,66.666667,-20.000000,0.616091,5.231313
A2,0.300000,85.000000,66.666667,-20.000000,0.875300,4.437948
A5,0.400000,71.666667,66.666667,-20.000000,0.447072,4.262544
A2,0.400000,85.000000,66.666667,-20.000000,0.883257,4.438212
A5,0.500000,78.333333,66.666667,-20.000000,0.448713,4.278998
A4,0.600000,85.000000,66.666667,-20.000000,0.658880,5.279792
A2,0.500000,85.000000,66.666667,-20.000000,0.871485,4.423415
A2,0.600000,85.000000,66.666667,-20.000000,0.821987,3.381672
A2,0.400000,65.000000,73.333333,-20.000000,0.883257,4.438212
A5,0.500000,85.000000,66.666667,-20.000000,0.448713,4.278998
A4,0.300000,78.333333,66.666667,-20.000000,0.630695,5.258731
A4,0.400000,85.000000,66.666667,-20.000000,0.661891,5.284455
A5,0.600000,85.000000,66.666667,-20.000000,0.477727,4.371005
A5,0.300000,65.000000,73.333333,-20.000000,0.447072,4.262642
A2,0.500000,65.000000,73.333333,-20.000000,0.871485,4.423415
A5,0.400000,65.000000,73.333333,-20.000000,0.447072,4.262544
A5,0.600000,65.000000,73.333333,-20.000000,0.447072,4.262544
A2,0.300000,65.000000,73.333333,-20.000000,0.875300,4.437948
A4,0.400000,65.000000,73.333333,-20.000000,0.661891,5.284455
A2,0.600000,78.333333,66.666667,-20.000000,0.821987,3.381672
A4,0.500000,65.000000,73.333333,-20.000000,0.616091,5.231313
A4,0.600000,65.000000,73.333333,-20.000000,0.658880,5.279792
A4,0.300000,71.666667,73.333333,-20.000000,0.630695,5.258731
A5,0.300000,71.666667,73.333333,-20.000000,0.507563,4.362127
A4,0.500000,71.666667,73.333333,-20.000000,0.616091,5.231313
A2,0.300000,71.666667,73.333333,-20.000000,0.875300,4.437948
A2,0.400000,71.666667,73.333333,-20.000000,0.883257,4.438212
A5,0.500000,65.000000,73.333333,-20.000000,0.447072,4.262544
A5,0.400000,85.000000,66.666667,-20.000000,0.447072,4.262544
A2,0.500000,71.666667,73.333333,-20.000000,0.871485,4.423415
A2,0.600000,71.666667,73.333333,-20.000000,0.821987,3.381672
A2,0.400000,78.333333,73.333333,-20.000000,0.883257,4.438212
A4,0.600000,71.666667,73.333333,-20.000000,0.658880,5.279792
A5,0.500000,71.666667,73.333333,-20.000000,0.448713,4.278998
A5,0.600000,71.666667,73.333333,-20.000000,0.477727,4.371005
A4,0.400000,71.666667,73.333333,-20.000000,0.661891,5.284455
A4,0.300000,65.000000,73.333333,-20.000000,0.630695,5.258731
A5,0.400000,78.333333,73.333333,-20.000000,0.447072,4.262544
A5,0.600000,78.333333,73.333333,-20.000000,0.477727,4.371005
A2,0.500000,78.333333,73.333333,-20.000000,0.871485,4.423415
A5,0.300000,78.333333,73.333333,-20.000000,0.507563,4.362127
A4,0.500000,78.333333,73.333333,-20.000000,0.616091,5.231313
A2,0.300000,78.333333,73.333333,-20.000000,0.875300,4.437948
A4,0.400000,78.333333,73.333333,-20.000000,0.661891,5.284455
A2,0.600000,65.000000,73.333333,-20.000000,0.821987,3.381672
A4,0.300000,85.000000,73.333333,-20.000000,0.630695,5.258731
A4,0.500000,85.000000,73.333333,-20.000000,0.616091,5.231313
A5,0.300000,85.000000,73.333333,-20.000000,0.507563,4.362127
A2,0.300000,85.000000,73.333333,-20.000000,0.875300,4.437948
A2,0.400000,85.000000,73.333333,-20.000000,0.883257,4.438212
A5,0.400000,71.666667,73.333333,-20.000000,0.447072,4.262544
A4,0.600000,78.333333,73.333333,-20.000000,0.658880,5.279792
A5,0.500000,78.333333,73.333333,-20.000000,0.448713,4.278998
A2,0.600000,85.000000,73.333333,-20.000000,0.821987,3.381672
A2,0.400000,65.000000,80.000000,-20.000000,0.883257,4.438212
A4,0.600000,85.000000,73.333333,-20.000000,0.658880,5.279792
A5,0.600000,85.000000,73.333333,-20.000000,0.477727,4.371005
A5,0.500000,85.000000,73.333333,-20.000000,0.448713,4.278998
A4,0.300000,78.333333,73.333333,-20.000000,0.630695,5.258731
A2,0.500000,85.000000,73.333333,-20.000000,0.871485,4.423415
A4,0.400000,85.000000,73.333333,-20.000000,0.661891,5.284455
A5,0.400000,65.000000,80.000000,-20.000000,0.447072,4.262544
A5,0.600000,65.000000,80.000000,-20.000000,0.447072,4.262544
A2,0.500000,65.000000,80.000000,-20.000000,0.871485,4.423415
A4,0.500000,65.000000,80.000000,-20.000000,0.616091,5.231313
A4,0.400000,65.000000,80.000000,-20.000000,0.661891,5.284455
A5,0.300000,65.000000,80.000000,-20.000000,0.447072,4.262642
A2,0.300000,65.000000,80.000000,-20.000000,0.875300,4.437948
A2,0.600000,78.333333,73.333333,-20.000000,0.821987,3.381672
A5,0.300000,71.666667,80.000000,-20.000000,0.507563,4.362127
A4,0.300000,71.666667,80.000000,-20.000000,0.630695,5.258731
A4,0.500000,71.666667,80.000000,-20.000000,0.616091,5.231313
A2,0.300000,71.666667,80.000000,-20.000000,0.875300,4.437948
A2,0.400000,71.666667,80.000000,-20.000000,0.883257,4.438212
A4,0.600000,65.000000,80.000000,-20.000000,0.658880,5.279792
A5,0.500000,65.000000,80.000000,-20.000000,0.447072,4.262544
A5,0.400000,85.000000,73.333333,-20.000000,0.447072,4.262544
A4,0.600000,71.666667,80.000000,-20.000000,0.658880,5.279792
A2,0.400000,78.333333,80.000000,-20.000000,0.883257,4.438212
A2,0.600000,71.666667,80.000000,-20.000000,0.821987,3.381672
A5,0.500000,71.666667,80.000000,-20.000000,0.448713,4.278998
A5,0.600000,71.666667,80.000000,-20.000000,0.477727,4.371005
A2,0.500000,71.666667,80.000000,-20.000000,0.871485,4.423415
A4,0.400000,71.666667,80.000000,-20.000000,0.661891,5.284455
A4,0.300000,65.000000,80.000000,-20.000000,0.630695,5.258731
A2,0.500000,78.333333,80.000000,-20.000000,0.871485,4.423415
A5,0.400000,78.333333,80.000000,-20.000000,0.447072,4.262544
A4,0.500000,78.333333,80.000000,-20.000000,0.616091,5.231313
A4,0.400000,78.333333,80.000000,-20.000000,0.661891,5.284455
A5,0.600000,78.333333,80.000000,-20.000000,0.477727,4.371005
A5,0.300000,78.333333,80.000000,-20.000000,0.507563,4.362127
A2,0.300000,78.333333,80.000000,-20.000000,0.875300,4.437948
A2,0.600000,65.000000,80.000000,-20.000000,0.821987,3.381672
A5,0.300000,85.000000,80.000000,-20.000000,0.507563,4.362127
A2,0.300000,85.000000,80.000000,-20.000000,0.875300,4.437948
A4,0.300000,85.000000,80.000000,-20.000000,0.630695,5.258731
A2,0.400000,85.000000,80.000000,-20.000000,0.883257,4.438212
A4,0.500000,85.000000,80.000000,-20.000000,0.616091,5.231313
A4,0.600000,78.333333,80.000000,-20.000000,0.658880,5.279792
A5,0.400000,71.666667,80.000000,-20.000000,0.447072,4.262544
A5,0.500000,78.333333,80.000000,-20.000000,0.448713,4.278998
A4,0.600000,85.000000,80.000000,-20.000000,0.658880,5.279792
A5,0.500000,85.000000,80.000000,-20.000000,0.448713,4.278998
A2,0.600000,85.000000,80.000000,-20.000000,0.821987,3.381672
A5,0.600000,85.000000,80.000000,-20.000000,0.477727,4.371005
A2,0.500000,85.000000,80.000000,-20.000000,0.871485,4.423415
A2,0.400000,65.000000,60.000000,-13.333333,0.883257,4.438212
A4,0.300000,78.333333,80.000000,-20.000000,0.630695,5.258731
A4,0.400000,85.000000,80.000000,-20.000000,0.661891,5.284455
A2,0.500000,65.000000,60.000000,-13.333333,0.871485,4.423415
A4,0.500000,65.000000,60.000000,-13.333333,0.616091,5.231313
A5,0.300000,65.000000,60.000000,-13.333333,0.447072,4.262642
A4,0.400000,65.000000,60.000000,-13.333333,0.661891,5.284455
A5,0.400000,65.000000,60.000000,-13.333333,0.447072,4.262544
A2,0.600000,78.333333,80.000000,-20.000000,0.821987,3.381672
A5,0.600000,65.000000,60.000000,-13.333333,0.447072,4.262544
A5,0.300000,71.666667,60.000000,-13.333333,0.507563,4.362127
A2,0.300000,65.000000,60.000000,-13.333333,0.875300,4.437948
A2,0.400000,71.666667,60.000000,-13.333333,0.883257,4.438212
A4,0.600000,65.000000,60.000000,-13.333333,0.658880,5.279792
A4,0.300000,71.666667,60.000000,-13.333333,0.630695,5.258731
A2,0.300000,71.666667,60.000000,-13.333333,0.875300,4.437948
A5,0.400000,85.000000,80.000000,-20.000000,0.447072,4.262544
A4,0.500000,71.666667,60.000000,-13.333333,0.616091,5.231313
A4,0.600000,71.666667,60.000000,-13.333333,0.658880,5.279792
A5,0.600000,71.666667,60.000000,-13.333333,0.477727,4.371005
A2,0.500000,71.666667,60.000000,-13.333333,0.871485,4.423415
A5,0.500000,65.000000,60.000000,-13.333333,0.447072,4.262544
A2,0.600000,71.666667,60.000000,-13.333333,0.821987,3.381672
A4,0.300000,65.000000,60.000000,-13.333333,0.630695,5.258731
A2,0.400000,78.333333,60.000000,-13.333333,0.883257,4.438212
A2,0.500000,78.333333,60.000000,-13.333333,0.871485,4.423415
A5,0.500000,71.666667,60.000000,-13.333333,0.448713,4.278998
A5,0.300000,78.333333,60.000000,-13.333333,0.507563,4.362127
A4,0.400000,71.666667,60.000000,-13.333333,0.661891,5.284455
A5,0.400000,78.333333,60.000000,-13.333333,0.447072,4.262544
A4,0.500000,78.333333,60.000000,-13.333333,0.616091,5.231313
A5,0.600000,78.333333,60.000000,-13.333333,0.477727,4.371005
A2,0.600000,65.000000,60.000000,-13.333333,0.821987,3.381672
A5,0.300000,85.000000,60.000000,-13.333333,0.507563,4.362127
A4,0.400000,78.333333,60.000000,-13.333333,0.661891,5.284455
A2,0.300000,78.333333,60.000000,-13.333333,0.875300,4.437948
A4,0.600000,78.333333,60.000000,-13.333333,0.658880,5.279792
A4,0.300000,85.000000,60.000000,-13.333333,0.630695,5.258731
A2,0.400000,85.000000,60.000000,-13.333333,0.883257,4.438212
A4,0.600000,85.000000,60.000000,-13.333333,0.658880,5.279792
A4,0.500000,85.000000,60.000000,-13.333333,0.616091,5.231313
A5,0.400000,71.666667,60.000000,-13.333333,0.447072,4.262544
A2,0.300000,85.000000,60.000000,-13.333333,0.875300,4.437948
A5,0.500000,78.333333,60.000000,-13.333333,0.448713,4.278998
A2,0.500000,85.000000,60.000000,-13.333333,0.871485,4.423415
A2,0.400000,65.000000,66.666667,-13.333333,0.883257,4.438212
A2,0.600000,85.000000,60.000000,-13.333333,0.821987,3.381672
A4,0.300000,78.333333,60.000000,-13.333333,0.630695,5.258731
A5,0.600000,85.000000,60.000000,-13.333333,0.477727,4.371005
A5,0.500000,85.000000,60.000000,-13.333333,0.448713,4.278998
A2,0.500000,65.000000,66.666667,-13.333333,0.871485,4.423415
A4,0.400000,85.000000,60.000000,-13.333333,0.661891,5.284455
A5,0.300000,65.000000,66.666667,-13.333333,0.447072,4.262642
A5,0.600000,65.000000,66.666667,-13.333333,0.447072,4.262544
A5,0.400000,65.000000,66.666667,-13.333333,0.447072,4.262544
A2,0.600000,78.333333,60.000000,-13.333333,0.821987,3.381672
A4,0.400000,65.000000,66.666667,-13.333333,0.661891,5.284455
A2,0.300000,65.000000,66.666667,-13.333333,0.875300,4.437948
A4,0.500000,65.000000,66.666667,-13.333333,0.616091,5.231313
A4,0.600000,65.000000,66.666667,-13.333333,0.658880,5.279792
A5,0.300000,71.666667,66.666667,-13.333333,0.507563,4.362127
A4,0.500000,71.666667,66.666667,-13.333333,0.616091,5.231313
A5,0.400000,85.000000,60.000000,-13.333333,0.447072,4.262544
A4,0.300000,71.666667,66.666667,-13.333333,0.630695,5.258731
A5,0.500000,65.000000,66.666667,-13.333333,0.447072,4.262544
A2,0.300000,71.666667,66.666667,-13.333333,0.875300,4.437948
A2,0.500000,71.666667,66.666667,-13.333333,0.871485,4.423415
A2,0.400000,71.666667,66.666667,-13.333333,0.883257,4.438212
A2,0.400000,78.333333,66.666667,-13.333333,0.883257,4.438212
A4,0.600000,71.666667,66.666667,-13.333333,0.658880,5.279792
A4,0.300000,65.000000,66.666667,-13.333333,0.630695,5.258731
A2,0.600000,71.666667,66.666667,-13.333333,0.821987,3.381672
A5,0.500000,71.666667,66.666667,-13.333333,0.448713,4.278998
A4,0.400000,71.666667,66.666667,-13.333333,0.661891,5.284455
A5,0.300000,78.333333,66.666667,-13.333333,0.507563,4.362127
A5,0.600000,71.666667,66.666667,-13.333333,0.477727,4.371005
A5,0.600000,78.333333,66.666667,-13.333333,0.477727,4.371005
A2,0.500000,78.333333,66.666667,-13.333333,0.871485,4.423415
A2,0.600000,65.000000,66.666667,-13.333333,0.821987,3.381672
A5,0.400000,78.333333,66.666667,-13.333333,0.447072,4.262544
A2,0.300000,78.333333,66.666667,-13.333333,0.875300,4.437948
A4,0.400000,78.333333,66.666667,-13.333333,0.661891,5.284455
A4,0.600000,78.333333,66.666667,-13.333333,0.658880,5.279792
A4,0.500000,78.333333,66.666667,-13.333333,0.616091,5.231313
A4,0.500000,85.000000,66.666667,-13.333333,0.616091,5.231313
A5,0.300000,85.000000,66.666667,-13.333333,0.507563,4.362127
A5,0.400000,71.666667,66.666667,-13.333333,0.447072,4.262544
A4,0.300000,85.000000,66.666667,-13.333333,0.630695,5.258731
A2,0.300000,85.000000,66.666667,-13.333333,0.875300,4.437948
A5,0.500000,78.333333,66.666667,-13.333333,0.448713,4.278998
A2,0.500000,85.000000,66.666667,-13.333333,0.871485,4.423415
A4,0.600000,85.000000,66.666667,-13.333333,0.658880,5.279792
A2,0.400000,65.000000,73.333333,-13.333333,0.883257,4.438212
A2,0.400000,85.000000,66.666667,-13.333333,0.883257,4.438212
A4,0.300000,78.333333,66.666667,-13.333333,0.630695,5.258731
A4,0.400000,85.000000,66.666667,-13.333333,0.661891,5.284455
A5,0.500000,85.000000,66.666667,-13.333333,0.448713,4.278998
A2,0.600000,85.000000,66.666667,-13.333333,0.821987,3.381672
A5,0.300000,65.000000,73.333333,-13.333333,0.447072,4.262642
A5,0.600000,65.000000,73.333333,-13.333333,0.447072,4.262544
A5,0.600000,85.000000,66.666667,-13.333333,0.477727,4.371005
A2,0.500000,65.000000,73.333333,-13.333333,0.871485,4.423415
A2,0.600000,78.333333,66.666667,-13.333333,0.821987,3.381672
A2,0.300000,65.000000,73.333333,-13.333333,0.875300,4.437948
A5,0.400000,65.000000,73.333333,-13.333333,0.447072,4.262544
A4,0.400000,65.000000,73.333333,-13.333333,0.661891,5.284455
A4,0.600000,65.000000,73.333333,-13.333333,0.658880,5.279792
A4,0.500000,71.666667,73.333333,-13.333333,0.616091,5.231313
A4,0.500000,65.000000,73.333333,-13.333333,0.616091,5.231313
A5,0.300000,71.666667,73.333333,-13.333333,0.507563,4.362127
A2,0.300000,71.666667,73.333333,-13.333333,0.875300,4.437948
A4,0.300000,71.666667,73.333333,-13.333333,0.630695,5.258731
A5,0.400000,85.000000,66.666667,-13.333333,0.447072,4.262544
A5,0.500000,65.000000,73.333333,-13.333333,0.447072,4.262544
A2,0.500000,71.666667,73.333333,-13.333333,0.871485,4.423415
A2,0.400000,78.333333,73.333333,-13.333333,0.883257,4.438212
A2,0.400000,71.666667,73.333333,-13.333333,0.883257,4.438212
A4,0.600000,71.666667,73.333333,-13.333333,0.658880,5.279792
A5,0.500000,71.666667,73.333333,-13.333333,0.448713,4.278998
A4,0.300000,65.000000,73.333333,-13.333333,0.630695,5.258731
A2,0.600000,71.666667,73.333333,-13.333333,0.821987,3.381672
A4,0.400000,71.666667,73.333333,-13.333333,0.661891,5.284455
A5,0.600000,78.333333,73.333333,-13.333333,0.477727,4.371005
A5,0.300000,78.333333,73.333333,-13.333333,0.507563,4.362127
A5,0.600000,71.666667,73.333333,-13.333333,0.477727,4.371005
A4,0.400000,78.333333,73.333333,-13.333333,0.661891,5.284455
A2,0.500000,78.333333,73.333333,-13.333333,0.871485,4.423415
A2,0.600000,65.000000,73.333333,-13.333333,0.821987,3.381672
A5,0.400000,78.333333,73.333333,-13.333333,0.447072,4.262544
A2,0.300000,78.333333,73.333333,-13.333333,0.875300,4.437948
A4,0.500000,85.000000,73.333333,-13.333333,0.616091,5.231313
A2,0.300000,85.000000,73.333333,-13.333333,0.875300,4.437948
A4,0.500000,78.333333,73.333333,-13.333333,0.616091,5.231313
A5,0.300000,85.000000,73.333333,-13.333333,0.507563,4.362127
A5,0.400000,71.666667,73.333333,-13.333333,0.447072,4.262544
A4,0.300000,85.000000,73.333333,-13.333333,0.630695,5.258731
A5,0.500000,78.333333,73.333333,-13.333333,0.448713,4.278998
A4,0.600000,78.333333,73.333333,-13.333333,0.658880,5.279792
A2,0.400000,65.000000,80.000000,-13.333333,0.883257,4.438212
A5,0.500000,85.000000,73.333333,-13.333333,0.448713,4.278998
A4,0.600000,85.000000,73.333333,-13.333333,0.658880,5.279792
A2,0.400000,85.000000,73.333333,-13.333333,0.883257,4.438212
A2,0.500000,85.000000,73.333333,-13.333333,0.871485,4.423415
A4,0.400000,85.000000,73.333333,-13.333333,0.661891,5.284455
A4,0.300000,78.333333,73.333333,-13.333333,0.630695,5.258731
A2,0.600000,85.000000,73.333333,-13.333333,0.821987,3.381672
A4,0.400000,65.000000,80.000000,-13.333333,0.661891,5.284455
A5,0.600000,65.000000,80.000000,-13.333333,0.447072,4.262544
A2,0.500000,65.000000,80.000000,-13.333333,0.871485,4.423415
A5,0.600000,85.000000,73.333333,-13.333333,0.477727,4.371005
A2,0.300000,65.000000,80.000000,-13.333333,0.875300,4.437948
A5,0.300000,65.000000,80.000000,-13.333333,0.447072,4.262642
A2,0.600000,78.333333,73.333333,-13.333333,0.821987,3.381672
A5,0.400000,65.000000,80.000000,-13.333333,0.447072,4.262544
A2,0.300000,71.666667,80.000000,-13.333333,0.875300,4.437948
A5,0.300000,71.666667,80.000000,-13.333333,0.507563,4.362127
A4,0.500000,65.000000,80.000000,-13.333333,0.616091,5.231313
A5,0.500000,65.000000,80.000000,-13.333333,0.447072,4.262544
A4,0.600000,65.000000,80.000000,-13.333333,0.658880,5.279792
A5,0.400000,85.000000,73.333333,-13.333333,0.447072,4.262544
A4,0.300000,71.666667,80.000000,-13.333333,0.630695,5.258731
A4,0.500000,71.666667,80.000000,-13.333333,0.616091,5.231313
A5,0.500000,71.666667,80.000000,-13.333333,0.448713,4.278998
A4,0.600000,71.666667,80.000000,-13.333333,0.658880,5.279792
A2,0.400000,71.666667,80.000000,-13.333333,0.883257,4.438212
A4,0.400000,71.666667,80.000000,-13.333333,0.661891,5.284455
A2,0.500000,71.666667,80.000000,-13.333333,0.871485,4.423415
A4,0.300000,65.000000,80.000000,-13.333333,0.630695,5.258731
A2,0.600000,71.666667,80.000000,-13.333333,0.821987,3.381672
A4,0.400000,78.333333,80.000000,-13.333333,0.661891,5.284455
A2,0.300000,78.333333,80.000000,-13.333333,0.875300,4.437948
A2,0.500000,78.333333,80.000000,-13.333333,0.871485,4.423415
A5,0.600000,71.666667,80.000000,-13.333333,0.477727,4.371005
A5,0.300000,78.333333,80.000000,-13.333333,0.507563,4.362127
A2,0.400000,78.333333,80.000000,-13.333333,0.883257,4.438212
A2,0.600000,65.000000,80.000000,-13.333333,0.821987,3.381672
A2,0.300000,85.000000,80.000000,-13.333333,0.875300,4.437948
A5,0.400000,78.333333,80.000000,-13.333333,0.447072,4.262544
A5,0.300000,85.000000,80.000000,-13.333333,0.507563,4.362127
A5,0.500000,78.333333,80.000000,-13.333333,0.448713,4.278998
A4,0.500000,78.333333,80.000000,-13.333333,0.616091,5.231313
A4,0.600000,78.333333,80.000000,-13.333333,0.658880,5.279792
A5,0.400000,71.666667,80.000000,-13.333333,0.447072,4.262544
A5,0.500000,85.000000,80.000000,-13.333333,0.448713,4.278998
A4,0.300000,85.000000,80.000000,-13.333333,0.630695,5.258731
A4,0.600000,85.000000,80.000000,-13.333333,0.658880,5.279792
A2,0.400000,85.000000,80.000000,-13.333333,0.883257,4.438212
A4,0.400000,85.000000,80.000000,-13.333333,0.661891,5.284455
A5,0.600000,78.333333,80.000000,-13.333333,0.477727,4.371005
A2,0.500000,85.000000,80.000000,-13.333333,0.871485,4.423415
A4,0.300000,78.333333,80.000000,-13.333333,0.630695,5.258731
A4,0.400000,65.000000,60.000000,-6.666667,0.661891,5.284455
A2,0.600000,85.000000,80.000000,-13.333333,0.821987,3.381672
A2,0.300000,65.000000,60.000000,-6.666667,0.875300,4.437948
A2,0.500000,65.000000,60.000000,-6.666667,0.871485,4.423415
A5,0.300000,65.000000,60.000000,-6.666667,0.447072,4.262642
A5,0.600000,85.000000,80.000000,-13.333333,0.477727,4.371005
A2,0.300000,71.666667,60.000000,-6.666667,0.875300,4.437948
A2,0.600000,78.333333,80.000000,-13.333333,0.821987,3.381672
A5,0.400000,65.000000,60.000000,-6.666667,0.447072,4.262544
A4,0.500000,85.000000,80.000000,-13.333333,0.616091,5.231313
A5,0.500000,65.000000,60.000000,-6.666667,0.447072,4.262544
A5,0.300000,71.666667,60.000000,-6.666667,0.507563,4.362127
A4,0.600000,65.000000,60.000000,-6.666667,0.658880,5.279792
A4,0.500000,65.000000,60.000000,-6.666667,0.616091,5.231313
A5,0.500000,71.666667,60.000000,-6.666667,0.448713,4.278998
A4,0.300000,71.666667,60.000000,-6.666667,0.630695,5.258731
A5,0.400000,85.000000,80.000000,-13.333333,0.447072,4.262544
A2,0.400000,65.000000,60.000000,-6.666667,0.883257,4.438212
A4,0.400000,71.666667,60.000000,-6.666667,0.661891,5.284455
A4,0.600000,71.666667,60.000000,-6.666667,0.658880,5.279792
A2,0.500000,71.666667,60.000000,-6.666667,0.871485,4.423415
A2,0.400000,71.666667,60.000000,-6.666667,0.883257,4.438212
A2,0.600000,71.666667,60.000000,-6.666667,0.821987,3.381672
A4,0.400000,78.333333,60.000000,-6.666667,0.661891,5.284455
A2,0.300000,78.333333,60.000000,-6.666667,0.875300,4.437948
A5,0.600000,65.000000,60.000000,-6.666667,0.447072,4.262544
A2,0.500000,78.333333,60.000000,-6.666667,0.871485,4.423415
A5,0.300000,78.333333,60.000000,-6.666667,0.507563,4.362127
A5,0.600000,71.666667,60.000000,-6.666667,0.477727,4.371005
A4,0.300000,65.000000,60.000000,-6.666667,0.630695,5.258731
